chr7	3100000	5100000
chr7	6100000	6400000
chr7	6600000	7200000
chr7	12800000	13100000
chr7	15900000	17100000
chr7	18800000	20000000
chr7	24200000	25900000
chr7	26700000	26800000
chr7	27100000	31100000
chr7	34100000	38100000
chr7	38200000	38300000
chr7	39500000	39600000
chr7	41500000	41600000
chr7	42500000	47000000
chr7	48800000	49000000
chr7	49200000	49900000
chr7	55800000	56200000
chr7	63800000	64400000
chr7	64700000	68400000
chr7	73100000	73900000
chr7	75400000	75900000
chr7	78800000	83000000
chr7	83600000	84300000
chr7	89200000	89400000
chr7	89900000	90300000
chr7	92600000	92900000
chr7	96100000	96500000
chr7	96600000	97100000
chr7	97300000	102500000
chr7	105500000	105600000
chr7	107300000	107400000
chr7	107500000	107600000
chr7	109100000	114300000
chr7	114400000	114800000
chr7	115500000	115600000
chr7	116000000	116700000
chr7	117400000	117600000
chr7	118000000	119000000
chr7	119700000	120400000
chr7	120600000	123500000
chr7	125400000	137800000
chr7	138100000	138200000
chr7	138300000	140200000
chr7	140800000	145400000
chr14	7700000	8400000
chr14	11400000	12400000
chr14	14000000	14100000
chr14	14700000	14800000
chr14	19700000	22800000
chr14	23000000	25900000
chr14	26300000	28600000
chr14	28900000	34800000
chr14	36900000	37000000
chr14	40900000	41000000
chr14	45200000	49200000
chr14	50800000	51100000
chr14	51900000	52400000
chr14	53600000	68200000
chr14	69100000	70800000
chr14	72500000	72800000
chr14	73100000	73600000
chr14	74700000	79800000
chr14	86700000	87200000
chr14	99000000	100500000
chr14	101500000	101900000
chr14	103000000	103700000
chr14	105000000	105400000
chr14	105500000	106000000
chr14	117900000	122700000
chr14	122800000	123000000
chrY	200000	300000
chrY	1600000	1700000
chrY	3400000	4900000
chrY	5000000	5100000
chrY	5300000	6000000
chrY	6100000	6400000
chrY	6500000	6600000
chrY	6900000	7000000
chr8	3100000	3800000
chr8	4100000	4700000
chr8	8500000	9000000
chr8	9100000	9300000
chr8	9400000	9500000
chr8	9700000	15100000
chr8	18500000	18900000
chr8	19900000	20100000
chr8	22000000	27300000
chr8	31100000	31200000
chr8	33200000	36700000
chr8	40300000	40800000
chr8	40900000	41400000
chr8	43200000	43400000
chr8	44900000	45400000
chr8	45700000	48800000
chr8	55300000	55400000
chr8	57300000	57800000
chr8	60900000	61700000
chr8	64600000	65100000
chr8	68000000	68100000
chr8	68200000	68400000
chr8	68700000	72800000
chr8	75000000	75200000
chr8	77400000	77700000
chr8	78000000	79800000
chr8	80700000	81000000
chr8	83100000	93200000
chr8	93400000	95900000
chr8	104100000	104700000
chr8	105000000	112100000
chr8	114400000	115200000
chr8	116300000	127400000
chr19	3300000	7600000
chr19	8700000	9100000
chr19	9900000	11000000
chr19	11900000	12000000
chr19	12700000	12800000
chr19	14400000	14700000
chr19	15900000	17400000
chr19	18600000	18800000
chr19	21600000	21800000
chr19	23000000	24700000
chr19	24800000	25700000
chr19	27400000	27500000
chr19	27700000	28200000
chr19	28300000	30200000
chr19	32100000	33000000
chr19	34800000	35000000
chr19	36100000	39000000
chr19	40200000	42800000
chr19	43400000	48000000
chr19	53000000	54100000
chr19	55200000	59400000
chr19	60200000	60300000
chr19	60500000	61300000
chr1	4500000	4600000
chr1	4700000	5200000
chr1	6200000	6300000
chr1	7000000	7400000
chr1	9500000	10400000
chr1	10800000	11600000
chr1	12600000	13900000
chr1	14100000	14800000
chr1	15600000	16700000
chr1	20700000	21300000
chr1	22400000	22500000
chr1	23300000	23400000
chr1	23800000	24300000
chr1	30800000	31000000
chr1	33500000	40900000
chr1	42600000	44200000
chr1	51400000	55600000
chr1	56800000	57000000
chr1	57200000	61300000
chr1	61400000	61500000
chr1	61600000	61700000
chr1	62100000	62200000
chr1	62300000	65300000
chr1	66700000	66800000
chr1	71500000	75900000
chr1	77200000	77600000
chr1	78000000	78700000
chr1	79700000	79800000
chr1	80200000	80400000
chr1	82700000	83100000
chr1	83800000	83900000
chr1	84100000	85000000
chr1	85600000	88200000
chr1	88300000	93900000
chr1	94000000	94100000
chr1	97700000	97800000
chr1	98000000	98100000
chr1	105500000	106400000
chr1	106500000	106800000
chr1	118300000	121600000
chr1	125400000	125700000
chr1	127100000	128800000
chr1	130400000	137300000
chr1	138800000	139200000
chr1	139400000	139500000
chr1	143600000	143800000
chr1	150400000	150500000
chr1	151000000	154400000
chr1	154500000	154600000
chr1	154700000	157500000
chr1	159200000	159500000
chr1	160100000	161400000
chr1	161600000	162800000
chr1	163300000	163400000
chr1	163800000	166400000
chr1	166900000	167100000
chr1	167200000	168000000
chr1	168300000	168400000
chr1	169900000	172600000
chr1	176700000	183700000
chr1	183900000	193400000
chr6	3200000	3300000
chr6	3500000	3600000
chr6	4500000	6900000
chr6	7600000	8800000
chr6	11900000	12100000
chr6	13600000	13700000
chr6	15700000	15800000
chr6	17000000	17100000
chr6	17500000	18000000
chr6	22000000	22100000
chr6	22300000	22500000
chr6	23000000	23400000
chr6	24600000	24700000
chr6	28400000	35400000
chr6	35500000	35600000
chr6	37000000	39900000
chr6	40200000	40500000
chr6	42300000	42400000
chr6	47200000	55500000
chr6	56700000	56900000
chr6	61000000	61200000
chr6	65000000	65200000
chr6	67000000	67300000
chr6	70800000	73300000
chr6	81900000	89700000
chr6	90300000	95300000
chr6	95500000	95800000
chr6	97000000	98200000
chr6	98300000	100900000
chr6	101000000	101100000
chr6	101200000	101300000
chr6	108100000	108900000
chr6	112500000	121400000
chr6	122300000	122900000
chr6	124400000	128600000
chr6	128700000	128900000
chr6	134000000	137800000
chr6	140200000	140800000
chr6	142700000	149600000
chr11	3200000	6900000
chr11	7000000	7200000
chr11	8500000	8900000
chr11	19800000	21700000
